county,lat,lon,an_2002,po_2002,pc_2002,an_2003,po_2003,pc_2003,an_2004,po_2004,pc_2004,an_2005,po_2005,pc_2005,an_2006,po_2006,pc_2006,an_2007,po_2007,pc_2007,an_2008,po_2008,pc_2008,an_2009,po_2009,pc_2009,an_2010,po_2010,pc_2010,an_2011,po_2011,pc_2011,an_2012,po_2012,pc_2012,an_2013,po_2013,pc_2013,an_2014,po_2014,pc_2014,an_2015,po_2015,pc_2015,an_2016,po_2016,pc_2016,an_2017,po_2017,pc_2017,an_2018,po_2018,pc_2018,an_2019,po_2019,pc_2019,an_2020,po_2020,pc_2020
Adams,43.9737568,-89.7672276,738,0.00001,0.00001,324,0.00001,0.00001,322,0.00001,0.00001,489,0.00001,0.00001,126,0.00001,0.00001,451,0.00001,0.00001,497,0.00001,0.00001,73,0.00001,0.00001,225,0.00001,0.00001,481,0.00001,0.00001,1068,0.00001,0.00001,247,0.00001,0.00001,5885,94,0.015972812,203,0.00001,0.00001,429,0.00001,0.00001,383,0.00001,0.00001,259,0.00001,0.00001,164,0.00001,0.00001,237,0.00001,0.00001
Ashland,46.5444245,-90.6796907,165,0.00001,0.00001,169,0.00001,0.00001,0.00001,0.00001,0.00001,546,0.00001,0.00001,486,0.00001,0.00001,310,0.00001,0.00001,7632,107,0.014019916,0.00001,0.00001,0.00001,253,0.00001,0.00001,0.00001,0.00001,0.00001,558,0.00001,0.00001,189,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,498,0.00001,0.00001,27,0.00001,0.00001,197,0.00001,0.00001,302,0.00001,0.00001,414,0.00001,0.00001
Barron,45.4371917,-91.8528921,439,0.00001,0.00001,489,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,220,0.00001,0.00001,563,0.00001,0.00001,650,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,506,0.00001,0.00001,37,0.00001,0.00001,507,0.00001,0.00001,591,0.00001,0.00001,626,0.00001,0.00001,292,0.00001,0.00001,36,0.00001,0.00001,115,0.00001,0.00001,126,0.00001,0.00001,326,0.00001,0.00001
Bayfield,46.6341992,-91.1772815,508,0.00001,0.00001,483,0.00001,0.00001,20,0.00001,0.00001,636,1,0.001572327,323,0.00001,0.00001,451,0.00001,0.00001,137,0.00001,0.00001,1830,2,0.001092896,575,0.00001,0.00001,670,0.00001,0.00001,263,0.00001,0.00001,274,0.00001,0.00001,379,0.00001,0.00001,0.00001,0.00001,0.00001,208,0.00001,0.00001,302,0.00001,0.00001,623,0.00001,0.00001,129,1,0.007751938,556,0.00001,0.00001
Brown,44.4740244,-87.9961303,125,0.00001,0.00001,101,0.00001,0.00001,607,0.00001,0.00001,513,0.00001,0.00001,187,0.00001,0.00001,346,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,9,0.00001,0.00001,1,0.00001,0.00001,4,0.00001,0.00001,0.00001,0.00001,0.00001,2,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,157,0.00001,0.00001
Buffalo,44.3856333,-91.761294,5,0.00001,0.00001,426,1,0.002347418,62,0.00001,0.00001,2782,31,0.011143063,15,0.00001,0.00001,2,0.00001,0.00001,194,0.00001,0.00001,0.00001,0.00001,0.00001,4,0.00001,0.00001,591,0.00001,0.00001,0.00001,0.00001,0.00001,141,1,0.007092199,4,0.00001,0.00001,4663,75,0.016084066,5,0.00001,0.00001,246,0.00001,0.00001,83,0.00001,0.00001,57,1,0.01754386,3,0.00001,0.00001
Burnett,45.8668974,-92.3757305,1,0.00001,0.00001,194,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,222,0.00001,0.00001,5,0.00001,0.00001,5,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,31,0.00001,0.00001,1,0.00001,0.00001,16,0.00001,0.00001,3,0.00001,0.00001,3,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,67,0.00001,0.00001
Calumet,44.0784104,-88.2121322,5,0.00001,0.00001,47,0.00001,0.00001,0.00001,0.00001,0.00001,1317,0.00001,0.00001,0.00001,0.00001,0.00001,591,7,0.011844332,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1732,0.00001,0.00001,5,0.00001,0.00001,5,0.00001,0.00001,220,0.00001,0.00001
Chippewa,45.0690918,-91.2835054,178,0.00001,0.00001,3,0.00001,0.00001,0.00001,0.00001,0.00001,16,0.00001,0.00001,68,0.00001,0.00001,1,0.00001,0.00001,415,1,0.002409639,0.00001,0.00001,0.00001,2,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,4,0.00001,0.00001,241,0.00001,0.00001,5,0.00001,0.00001,60,0.00001,0.00001,1,0.00001,0.00001,3,0.00001,0.00001,16,0.00001,0.00001,2,0.00001,0.00001
Clark,44.7393462,-90.6099532,3,0.00001,0.00001,5,0.00001,0.00001,1,0.00001,0.00001,563,0.00001,0.00001,37,0.00001,0.00001,2921,41,0.014036289,70,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,241,0.00001,0.00001,465,1,0.002150538,1,0.00001,0.00001,6368,84,0.013190955,6,0.00001,0.00001,875,0.00001,0.00001
Columbia,43.4718818,-89.3304721,9,0.00001,0.00001,330,0.00001,0.00001,1,0.00001,0.00001,406,2,0.004926108,2,0.00001,0.00001,15,0.00001,0.00001,17,0.00001,0.00001,4,0.00001,0.00001,4,0.00001,0.00001,3,0.00001,0.00001,1,0.00001,0.00001,75,0.00001,0.00001,1,0.00001,0.00001,377,0.00001,0.00001,1691,0.00001,0.00001,775,4,0.00516129,1302,3,0.002304147,1,0.00001,0.00001,2,0.00001,0.00001
Crawford,43.24991,-90.9512302,6,0.00001,0.00001,1,0.00001,0.00001,5,0.00001,0.00001,12,0.00001,0.00001,60,0.00001,0.00001,2,0.00001,0.00001,1525,10,0.006557377,2,0.00001,0.00001,3,0.00001,0.00001,798,0.00001,0.00001,11,0.00001,0.00001,112,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,32,0.00001,0.00001,1,0.00001,0.00001,4,0.00001,0.00001,134,0.00001,0.00001,1,0.00001,0.00001
Dane,43.0674684,-89.4178523,1,0.00001,0.00001,74,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,211,2,0.009478673,42,0.00001,0.00001,3689,40,0.010843047,239,0.00001,0.00001,367,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,3,0.00001,0.00001,178,0.00001,0.00001,11,0.00001,0.00001,501,0.00001,0.00001,529,0.00001,0.00001,258,0.00001,0.00001,4990,115,0.023046092
Dodge,43.4296276,-88.7019394,1,0.00001,0.00001,3,0.00001,0.00001,2164,2,0.000924214,12,0.00001,0.00001,246,0.00001,0.00001,195,0.00001,0.00001,3,0.00001,0.00001,334,4,0.011976048,15,0.00001,0.00001,338,0.00001,0.00001,18,0.00001,0.00001,417,0.00001,0.00001,413,0.00001,0.00001,13,0.00001,0.00001,128,0.00001,0.00001,236,0.00001,0.00001,2,0.00001,0.00001,308,0.00001,0.00001,2,0.00001,0.00001
Door,45.0934165,-87.25,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,2,0.00001,0.00001,0.00001,0.00001,0.00001,111,0.00001,0.00001,4,0.00001,0.00001,312,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,919,2,0.002176279,1612,6,0.003722084,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1855,2,0.001078167,1,0.00001,0.00001,632,0.00001,0.00001,66,0.00001,0.00001,1,0.00001,0.00001
Douglas,46.4632185,-91.8924773,6,0.00001,0.00001,0.00001,0.00001,0.00001,43,0.00001,0.00001,29,0.00001,0.00001,5,0.00001,0.00001,1219,8,0.006562756,8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,843,0.00001,0.00001,0.00001,0.00001,0.00001,434,0.00001,0.00001,462,0.00001,0.00001,118,0.00001,0.00001,9,0.00001,0.00001,496,0.00001,0.00001
Dunn,44.9477513,-91.8976451,32,0.00001,0.00001,92,0.00001,0.00001,0.00001,0.00001,0.00001,91,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,578,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,124,0.00001,0.00001,295,0.00001,0.00001,492,0.00001,0.00001,706,6,0.008498584,268,0.00001,0.00001,2985,44,0.014740369,814,0.00001,0.00001,38,0.00001,0.00001,438,0.00001,0.00001,269,0.00001,0.00001
